,Dataset,Method,Precision,k-ratio
0,001,k-Motiflets,1.0,1.0
1,001,Set Finder,0.9,0.9
2,001,EMMA,0.9,0.9
3,001,VALMOD,0.2,0.2
4,001,LM,0.5,0.6
5,002,k-Motiflets,1.0,1.0
6,002,Set Finder,0.8571428571428571,0.8571428571428571
7,002,EMMA,0.8571428571428571,0.8571428571428571
8,002,VALMOD,0.2857142857142857,0.2857142857142857
9,002,LM,0.5714285714285714,0.5714285714285714
10,003,k-Motiflets,1.0,1.0
11,003,Set Finder,0.6666666666666666,0.6666666666666666
12,003,EMMA,0.6666666666666666,0.6666666666666666
13,003,VALMOD,0.3333333333333333,0.3333333333333333
14,003,LM,0.16666666666666666,0.16666666666666666
15,004,k-Motiflets,0.0,1.0
16,004,Set Finder,0.0,1.2
17,004,EMMA,0.0,1.2
18,004,VALMOD,0.0,0.6
19,004,LM,0.0,1.0
20,005,k-Motiflets,1.0,1.0
21,005,Set Finder,0.7777777777777778,0.7777777777777778
22,005,EMMA,0.7777777777777778,0.7777777777777778
23,005,VALMOD,0.2222222222222222,0.2222222222222222
24,005,LM,0.8888888888888888,0.8888888888888888
25,006,k-Motiflets,1.0,1.0
26,006,Set Finder,0.75,0.75
27,006,EMMA,0.75,0.75
28,006,VALMOD,0.25,0.25
29,006,LM,0.125,0.125
30,007,k-Motiflets,1.0,1.0
31,007,Set Finder,0.6666666666666666,0.6666666666666666
32,007,EMMA,0.6666666666666666,0.6666666666666666
33,007,VALMOD,0.3333333333333333,0.3333333333333333
34,007,LM,0.8333333333333334,0.8333333333333334
35,008,k-Motiflets,1.0,1.0
36,008,Set Finder,0.7777777777777778,0.7777777777777778
37,008,EMMA,0.7777777777777778,0.7777777777777778
38,008,VALMOD,0.2222222222222222,0.2222222222222222
39,008,LM,1.0,1.0
40,009,k-Motiflets,1.0,1.0
41,009,Set Finder,0.8333333333333334,0.8333333333333334
42,009,EMMA,0.8333333333333334,0.8333333333333334
43,009,VALMOD,0.3333333333333333,0.3333333333333333
44,009,LM,1.0,1.0
45,010,k-Motiflets,1.0,1.0
46,010,Set Finder,0.875,0.875
47,010,EMMA,0.875,0.875
48,010,VALMOD,0.25,0.25
49,010,LM,0.875,1.0
50,011,k-Motiflets,1.0,1.0
51,011,Set Finder,0.9,0.9
52,011,EMMA,0.9,0.9
53,011,VALMOD,0.2,0.2
54,011,LM,0.9,0.9
55,012,k-Motiflets,1.0,1.0
56,012,Set Finder,0.8571428571428571,0.8571428571428571
57,012,EMMA,0.8571428571428571,0.8571428571428571
58,012,VALMOD,0.2857142857142857,0.2857142857142857
59,012,LM,0.8571428571428571,0.8571428571428571
60,013,k-Motiflets,1.0,1.0
61,013,Set Finder,0.6,0.6
62,013,EMMA,0.6,0.6
63,013,VALMOD,0.4,0.4
64,013,LM,1.0,1.0
65,014,k-Motiflets,1.0,1.0
66,014,Set Finder,0.8,0.8
67,014,EMMA,0.8,0.8
68,014,VALMOD,0.2,0.2
69,014,LM,0.6,0.6
70,015,k-Motiflets,1.0,1.0
71,015,Set Finder,0.8333333333333334,0.8333333333333334
72,015,EMMA,0.8333333333333334,0.8333333333333334
73,015,VALMOD,0.3333333333333333,0.3333333333333333
74,015,LM,0.0,0.6666666666666666
75,016,k-Motiflets,1.0,1.0
76,016,Set Finder,0.7777777777777778,0.7777777777777778
77,016,EMMA,0.7777777777777778,0.7777777777777778
78,016,VALMOD,0.2222222222222222,0.2222222222222222
79,016,LM,1.0,1.0
80,017,k-Motiflets,1.0,1.0
81,017,Set Finder,0.8,0.8
82,017,EMMA,0.8,0.8
83,017,VALMOD,0.2,0.2
84,017,LM,0.1,0.1
85,018,k-Motiflets,1.0,1.0
86,018,Set Finder,0.7142857142857143,0.7142857142857143
87,018,EMMA,0.7142857142857143,0.7142857142857143
88,018,VALMOD,0.2857142857142857,0.2857142857142857
89,018,LM,0.0,0.14285714285714285
90,019,k-Motiflets,1.0,1.0
91,019,Set Finder,0.8888888888888888,0.8888888888888888
92,019,EMMA,0.2222222222222222,0.7777777777777778
93,019,VALMOD,0.0,0.2222222222222222
94,019,LM,0.1111111111111111,0.7777777777777778
95,020,k-Motiflets,0.16666666666666666,1.0
96,020,Set Finder,0.5,2.5
97,020,EMMA,0.5,2.3333333333333335
98,020,VALMOD,0.0,0.6666666666666666
99,020,LM,0.0,0.8333333333333334
100,021,k-Motiflets,0.0,1.0
101,021,Set Finder,0.4,3.4
102,021,EMMA,0.6,3.4
103,021,VALMOD,0.0,1.0
104,021,LM,0.6,1.0
105,022,k-Motiflets,1.0,1.0
106,022,Set Finder,0.5714285714285714,1.2857142857142858
107,022,EMMA,0.5714285714285714,1.2857142857142858
108,022,VALMOD,0.14285714285714285,0.42857142857142855
109,022,LM,0.2857142857142857,1.0
110,023,k-Motiflets,1.0,1.0
111,023,Set Finder,0.5,0.9
112,023,EMMA,0.4,0.8
113,023,VALMOD,0.0,0.2
114,023,LM,1.0,1.0
115,024,k-Motiflets,1.0,1.0
116,024,Set Finder,0.8888888888888888,0.8888888888888888
117,024,EMMA,0.8888888888888888,0.8888888888888888
118,024,VALMOD,0.2222222222222222,0.2222222222222222
119,024,LM,0.4444444444444444,0.4444444444444444
120,025,k-Motiflets,1.0,1.0
121,025,Set Finder,0.75,0.75
122,025,EMMA,0.25,0.375
123,025,VALMOD,0.0,0.25
124,025,LM,1.0,1.0
